%yyyy.yyyy ___up(m)
2000.6845 0.157415
2000.6872 0.163901
2000.6899 0.165250
2000.6927 0.159795
2000.6954 0.169467
2000.6982 0.165883
2000.7009 0.164844
2000.7036 0.162578
2000.7064 0.169184
2000.7091 0.165804
2000.7118 0.168684
2000.7146 0.163151
2000.7173 0.159218
2000.7201 0.157256
2000.7228 0.159737
2000.7255 0.159447
2000.7283 0.162205
2000.7310 0.161562
2000.7337 0.156530
2000.7365 0.152800
2000.7392 0.153203
2000.7420 0.159285
2000.7447 0.153538
2000.7474 0.153210
2000.7502 0.157099
2000.7529 0.152477
2000.7556 0.157550
2000.7584 0.153891
2000.7611 0.150608
2000.7639 0.141670
2000.7693 0.141557
2000.7721 0.146652
2000.7748 0.149871
2000.7775 0.150627
2000.7803 0.158446
2000.7830 0.158355
2000.7858 0.159493
2000.7885 0.159417
2000.7912 0.154170
2000.7940 0.154916
2000.7967 0.150883
2000.7995 0.156727
2000.8022 0.152913
2000.8049 0.156366
2000.8077 0.153885
2000.8104 0.152759
2000.8131 0.156134
2000.8159 0.151786
2000.8186 0.155357
2000.8214 0.157702
2000.8241 0.159697
2000.8268 0.166642
2000.8296 0.161149
2000.8323 0.153602
2000.8350 0.149243
2000.8378 0.154962
2000.8405 0.154332
2000.8433 0.148432
2000.8460 0.146531
2000.8487 0.143514
2000.8515 0.140109
2000.8542 0.144290
2000.8569 0.150051
2000.8597 0.151263
2000.8624 0.159561
2000.8652 0.150949
2000.8679 0.153918
2000.8706 0.151203
2000.8734 0.150424
2000.8761 0.143060
2000.8789 0.143257
2000.8816 0.152654
2000.8843 0.153080
2000.8871 0.148935
2000.8898 0.146462
2000.8925 0.142351
2000.8953 0.142339
2000.8980 0.146669
2000.9008 0.150063
2000.9035 0.147196
2000.9062 0.149741
2000.9090 0.156855
2000.9117 0.148581
2000.9144 0.143535
2000.9172 0.151575
2000.9199 0.153345
2000.9227 0.149208
2000.9254 0.150520
2000.9281 0.148999
2000.9309 0.143147
2000.9336 0.143233
2000.9363 0.145755
2000.9391 0.143547
2000.9418 0.148447
2000.9446 0.145501
2000.9473 0.151782
2000.9500 0.155232
2000.9528 0.153128
2000.9555 0.153125
2000.9582 0.148911
2000.9610 0.147215
2000.9637 0.147550
2000.9665 0.154851
2000.9692 0.142683
2000.9719 0.152991
2000.9747 0.158961
2000.9774 0.159436
2000.9802 0.157216
2000.9829 0.155555
2000.9856 0.156008
2000.9884 0.154867
2000.9911 0.155197
2000.9938 0.151060
2000.9966 0.153852
2000.9993 0.152078
2001.0021 0.153832
2001.0048 0.152458
2001.0075 0.158834
2001.0103 0.145177
2001.0130 0.140934
2001.0157 0.137923
2001.0185 0.143676
2001.0212 0.149201
2001.0240 0.153577
2001.0267 0.147842
2001.0322 0.150867
2001.0349 0.150798
2001.0376 0.149665
2001.0404 0.150807
2001.0431 0.144557
2001.0459 0.145775
2001.0486 0.152749
2001.0513 0.151866
2001.0541 0.150843
2001.0568 0.154767
2001.0595 0.147303
2001.0623 0.148017
2001.0650 0.149802
2001.0678 0.142745
2001.0705 0.144292
2001.0732 0.145882
2001.0760 0.147061
2001.0787 0.150662
2001.0815 0.149427
2001.0842 0.151431
2001.0869 0.151647
2001.0897 0.143703
2001.0924 0.142326
2001.0951 0.139800
2001.0979 0.148027
2001.1006 0.150521
2001.1034 0.147512
2001.1061 0.146429
2001.1088 0.144493
2001.1116 0.144094
2001.1143 0.138967
2001.1170 0.140563
2001.1198 0.146700
2001.1225 0.154101
2001.1253 0.162733
2001.1280 0.157846
2001.1307 0.166258
