%yyyy.yyyy ___up(m)
2006.0014 0.895613
2006.0041 0.883128
2006.0068 0.893203
2006.0096 0.886631
2006.0123 0.902668
2006.0151 0.892008
2006.0178 0.888760
2006.0205 0.894950
2006.0233 0.896813
2006.0260 0.899044
2006.0287 0.886610
2006.0315 0.885393
2006.0370 0.890789
2006.0397 0.887701
2006.0424 0.898701
2006.0452 0.884179
2006.0479 0.882960
2006.0507 0.891167
2006.0534 0.883128
2006.0561 0.883277
2006.0589 0.896562
2006.0616 0.888177
2006.0643 0.885303
2006.0671 0.894194
2006.0698 0.884785
2006.0726 0.884234
2006.0753 0.882682
2006.0780 0.882315
2006.0808 0.886616
2006.0835 0.879593
2006.0862 0.881814
2006.0890 0.888810
2006.0917 0.888706
2006.0945 0.881663
2006.0972 0.893098
2006.0999 0.875375
2006.1027 0.883565
2006.1054 0.885332
2006.1081 0.888710
2006.1109 0.882685
2006.1136 0.873080
2006.1164 0.878684
2006.1191 0.877913
2006.1218 0.870876
2006.1246 0.873272
2006.1300 0.869732
2006.1328 0.877661
2006.1355 0.883269
2006.1383 0.878104
2006.1410 0.867731
2006.1437 0.867401
2006.1465 0.888297
2006.1492 0.876734
2006.1520 0.879027
2006.1547 0.891874
2006.1574 0.882548
2006.1602 0.879431
2006.1629 0.876112
2006.1656 0.892717
2006.1684 0.870903
2006.1711 0.877494
2006.1739 0.877007
2006.1766 0.874846
2006.1793 0.872949
2006.1821 0.868674
2006.1848 0.878277
2006.1875 0.874117
2006.1903 0.867476
2006.1930 0.879544
2006.1958 0.874840
2006.1985 0.887384
2006.2040 0.872316
2006.2067 0.875353
2006.2094 0.877148
2006.2122 0.876685
2006.2149 0.866066
2006.2177 0.880021
2006.2204 0.875093
2006.2231 0.877935
2006.2259 0.872807
2006.2286 0.874043
2006.2313 0.876606
2006.2341 0.868939
2006.2368 0.865831
2006.2396 0.868151
2006.2423 0.864179
2006.2505 0.872212
2006.2533 0.865769
2006.2560 0.872259
2006.2587 0.870837
2006.2615 0.877695
2006.2642 0.866274
2006.2669 0.869443
2006.2697 0.866231
2006.2724 0.857842
2006.2752 0.868350
2006.2779 0.867900
2006.2806 0.871408
2006.2834 0.866228
2006.2861 0.856862
2006.2888 0.866411
2006.2916 0.861954
2006.2943 0.868396
2006.2971 0.842393
2006.2998 0.861398
2006.3025 0.849150
2006.3053 0.857593
2006.3080 0.862650
2006.3135 0.863767
2006.3162 0.864859
2006.3190 0.865962
2006.3217 0.861190
2006.3244 0.862484
2006.3272 0.855524
2006.3299 0.865281
2006.3326 0.864948
2006.3354 0.861416
2006.3381 0.861061
2006.3409 0.856648
2006.3436 0.851697
2006.3463 0.866672
2006.3491 0.851287
2006.3518 0.865918
2006.3546 0.861231
2006.3765 0.857100
2006.3792 0.853053
2006.3874 0.845144
2006.3901 0.852153
2006.3929 0.845891
2006.3956 0.842210
2006.4011 0.840560
2006.4038 0.856358
2006.4066 0.855540
2006.4093 0.857890
2006.4120 0.857458
2006.4148 0.849926
2006.4175 0.849696
2006.4203 0.848157
2006.4230 0.844765
2006.4257 0.842629
2006.4285 0.853824
2006.4312 0.855188
2006.4339 0.861351
2006.4367 0.846207
2006.4394 0.863605
2006.4422 0.839469
2006.4449 0.859789
2006.4504 0.851517
2006.4531 0.850730
2006.4559 0.847606
2006.4586 0.858069
2006.4613 0.847547
2006.4641 0.854701
2006.4668 0.852698
2006.4695 0.852025
2006.4723 0.840653
2006.4750 0.847097
2006.4778 0.856315
2006.4805 0.862568
2006.4832 0.861820
2006.4860 0.846263
2006.4887 0.861334
2006.4914 0.856373
2006.4942 0.855482
2006.4969 0.861267
2006.4997 0.858986
2006.5024 0.854037
2006.5051 0.860491
2006.5079 0.862730
2006.5106 0.852986
2006.5133 0.856235
2006.5161 0.859334
2006.5188 0.860965
2006.5216 0.854708
2006.5243 0.868995
2006.5270 0.868509
2006.5298 0.855876
2006.5325 0.862980
2006.5352 0.869667
2006.5380 0.864223
2006.5407 0.860594
2006.5435 0.862165
2006.5462 0.856645
2006.5489 0.858666
2006.5517 0.861497
2006.5544 0.862150
2006.5572 0.861230
2006.5599 0.875560
2006.5626 0.878074
2006.5654 0.875188
2006.5681 0.871320
2006.5708 0.871847
2006.5736 0.867877
2006.5763 0.871656
2006.5791 0.866262
2006.5818 0.864497
2006.5845 0.866284
2006.5873 0.871004
2006.5900 0.854115
2006.5927 0.878090
2006.5955 0.868932
2006.5982 0.876441
2006.6010 0.869220
2006.6037 0.879268
2006.6064 0.878148
2006.6092 0.881605
2006.6119 0.882147
2006.6146 0.875297
2006.6174 0.878104
2006.6201 0.876776
2006.6229 0.879478
2006.6256 0.876723
2006.6283 0.893309
2006.6311 0.884428
2006.6338 0.870038
2006.6366 0.889191
2006.6393 0.875580
2006.6420 0.872337
2006.6448 0.884041
2006.6475 0.879786
2006.6502 0.881381
2006.6530 0.894085
2006.6557 0.888419
2006.6585 0.884173
2006.6612 0.889121
2006.6639 0.884465
2006.6667 0.886427
2006.6694 0.893341
2006.6721 0.885717
2006.6749 0.889632
2006.6776 0.881178
2006.6804 0.892488
2006.6831 0.896136
2006.6858 0.882783
2006.6886 0.894390
2006.6913 0.894369
2006.6940 0.889216
2006.6968 0.889576
2006.6995 0.894159
2006.7023 0.886207
2006.7050 0.900433
2006.7077 0.901412
2006.7105 0.895257
2006.7132 0.897009
2006.7488 0.911095
2006.7515 0.912336
2006.7543 0.903701
2006.7570 0.920466
2006.7598 0.911631
2006.7625 0.917250
2006.7652 0.921801
2006.7680 0.907262
2006.7707 0.910631
2006.7734 0.893868
2006.7762 0.907798
2006.7789 0.921026
2006.7817 0.917706
2006.7844 0.914068
2006.7871 0.902997
2006.7899 0.899999
2006.7926 0.919183
2006.7953 0.918438
2006.7981 0.910148
2006.8008 0.913599
2006.8036 0.921852
2006.8063 0.920151
2006.8090 0.929767
2006.8118 0.918115
2006.8145 0.914222
2006.8172 0.903896
2006.8200 0.916062
2006.8227 0.919922
2006.8255 0.918983
2006.8282 0.913535
2006.8309 0.897377
2006.8337 0.904274
2006.8364 0.915090
2006.8392 0.921212
2006.8419 0.914458
2006.8446 0.917319
2006.8474 0.925187
2006.8501 0.916452
2006.8528 0.914562
2006.8556 0.924550
2006.8583 0.908127
2006.8611 0.908330
2006.8638 0.918151
2006.8665 0.917313
2006.8693 0.908599
2006.8720 0.913126
2006.8747 0.914011
2006.8775 0.912550
2006.8802 0.908792
2006.8830 0.909407
2006.8857 0.912599
2006.8884 0.899186
2006.8912 0.908875
2006.8939 0.912344
2006.8966 0.905077
2006.8994 0.916433
2006.9021 0.913187
2006.9049 0.910963
2006.9076 0.912005
2006.9103 0.911955
2006.9131 0.910816
2006.9158 0.903196
2006.9185 0.903344
2006.9213 0.912655
2006.9240 0.907479
2006.9268 0.901517
2006.9295 0.916518
2006.9322 0.902885
2006.9350 0.904884
2006.9405 0.910006
2006.9432 0.905892
2006.9459 0.901402
2006.9487 0.902306
2006.9514 0.908116
2006.9541 0.891231
2006.9569 0.893659
2006.9596 0.897742
2006.9624 0.903960
2006.9651 0.898651
2006.9678 0.897228
